"index","brand","model","mileage","year","fuel_type","ownerCount","accidentCount","transmission","city","state","body_style","engine","drive_train","price"
"7702","Chevrolet","Tahoe","84282","2015","Gas","2","0","Automatic","Daly City","CA","SUV","5.3L V-8 Gas","RWD","34998"
"7703","Mercedes-Benz","C-Class","52833","2017","Gas","2","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","RWD","26590"
"7704","Mercedes-Benz","C-Class","30457","2020","Gas","1","0","Automatic","Walnut Creek","CA","Sedan","2.0L Inline-4 Gas Turbocharged","RWD","36700"
"7705","Toyota","4Runner","42183","2020","Gas","1","0","Automatic","San Francisco","CA","SUV","4.0L V-6 Gas","4WD","35697"
"7706","Nissan","Sentra","56662","2019","Gas","1","0","Automatic","Hayward","CA","Sedan","1.8L Inline-4 Gas","FWD","19988"
"7707","Ram","1500","2231","2021","Gas","1","0","Automatic","Newark","CA","Pickup Truck","6.2L V-8 Gas Supercharged","4WD","95894"
"7708","GMC","Sierra 1500","101245","2017","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","5.3L V-8 Gas","RWD","29998"
"7709","Nissan","Altima","40467","2018","Gas","1","0","Automatic","Concord","CA","Sedan","2.5L Inline-4 Gas","FWD","20233"
"7710","GMC","Sierra 1500","32122","2019","Gas","1","0","Automatic","Daly City","CA","Pickup Truck","6.2L V-8 Gas","4WD","55998"
"7711","Volkswagen","Atlas","34077","2019","Gas","1","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","FWD","32998"
"7712","Mercedes-Benz","GLE","70787","2017","Gas","2","0","Automatic","Daly City","CA","SUV","3.5L V-6 Gas","RWD","32998"
"7713","Ford","EcoSport","8104","2020","Gas","1","0","Automatic","Hayward","CA","SUV","1.0L Inline-3 Gas Turbocharged","FWD","22356"
"7714","Lexus","RX","80719","2013","Gas","1","0","Automatic","Fremont","CA","SUV","3.5L V-6 Gas","AWD","21999"
"7715","Lexus","NX","19532","2019","Hybrid","1","0","Automatic","Daly City","CA","SUV","2.5L Inline-4 Hybrid","AWD","37998"
"7716","Ford","Edge","43505","2019","Gas","1","0","Automatic","Dublin","CA","SUV","2.0L Inline-4 Gas Turbocharged","FWD","24912"
"7717","Audi","A4","113388","2011","Gas","2","0","Automatic","San Mateo","CA","Wagon","2.0L Inline-4 Gas Turbocharged","AWD","11888"
"7718","Chevrolet","Tahoe","40993","2019","Gas","2","0","Automatic","Daly City","CA","SUV","5.3L V-8 Gas","RWD","41998"
"7719","Audi","A5","133863","2014","Gas","2","0","Automatic","Fremont","CA","Convertible","2.0L Inline-4 Gas Turbocharged","AWD","13999"
"7720","Porsche","Cayenne","50294","2016","Gas","3","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","AWD","39998"
"7721","Kia","Optima","59465","2016","Hybrid","2","0","Automatic","Daly City","CA","Sedan","2.4L Inline-4 Hybrid","FWD","20998"
"7722","Honda","Accord","21090","2020","Gas","1","0","Automatic","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","FWD","34998"
"7723","Dodge","Journey","34920","2019","Gas","2","0","Automatic","Daly City","CA","SUV","3.6L V-6 Gas","AWD","25998"
"7724","Lexus","LS","15902","2016","Gas","2","0","Automatic","San Rafael","CA","Sedan","4.6L V-8 Gas","RWD","45600"
"7725","Volkswagen","Jetta","33655","2019","Gas","1","0","Manual","Daly City","CA","Sedan","2.0L Inline-4 Gas Turbocharged","FWD","27998"
"7726","Dodge","Charger","16136","2020","Gas","1","0","Automatic","Daly City","CA","Sedan","5.7L V-8 Gas","RWD","36998"
"7727","Chrysler","Pacifica","25028","2019","Gas","2","0","Automatic","Daly City","CA","Minivan","3.6L V-6 Gas","FWD","38998"
"7728","Honda","CR-V","8761","2020","Gas","1","1","Automatic","Daly City","CA","SUV","1.5L Inline-4 Gas Turbocharged","FWD","34998"
